timestamp,environment,temperature_C,humidity_percent,lux
2025-03-25T16:17:35.185741,Environment 1,23.98,40.86,382.0
2025-03-25T16:17:35.725895,Environment 2,23.34,42.2,323.94
2025-03-25T16:17:46.247698,Environment 1,23.98,40.78,381.08
2025-03-25T16:17:46.784956,Environment 2,23.31,42.11,323.48
2025-03-25T16:17:57.307605,Environment 1,23.96,40.77,378.32
2025-03-25T16:17:59.941628,Environment 1,23.95,40.81,311.5
2025-03-25T16:18:00.478087,Environment 2,23.31,42.1,332.24
2025-03-25T16:18:10.999642,Environment 1,23.9,40.57,231.78
2025-03-25T16:18:11.541011,Environment 2,23.32,41.92,320.26
2025-03-25T16:18:22.063767,Environment 1,23.87,40.69,442.37
2025-03-25T16:18:24.696904,Environment 1,23.86,40.69,443.75
2025-03-25T16:18:25.233691,Environment 2,23.3,41.93,344.22
2025-03-25T16:18:35.756290,Environment 1,23.83,40.81,453.43
2025-03-25T16:18:36.297234,Environment 2,23.29,41.97,351.13
2025-03-25T16:18:46.818922,Environment 1,23.81,40.76,463.56
2025-03-25T16:18:49.453435,Environment 1,23.8,40.75,464.03
2025-03-25T16:18:49.990144,Environment 2,23.26,41.86,357.12
2025-03-25T16:19:00.511934,Environment 1,23.77,40.68,464.49
2025-03-25T16:19:01.053290,Environment 2,23.27,41.82,356.66
2025-03-25T16:19:11.575353,Environment 1,23.72,40.78,464.03
2025-03-25T16:19:14.209337,Environment 1,23.73,40.8,463.56
2025-03-25T16:19:14.749575,Environment 2,23.24,41.82,357.58
2025-03-25T16:19:25.268268,Environment 1,23.69,40.5,464.95
2025-03-25T16:19:25.809173,Environment 2,23.23,41.48,357.12
2025-03-25T16:19:36.331306,Environment 1,23.68,40.58,460.8
2025-03-25T16:19:38.964756,Environment 1,23.67,40.56,464.49
2025-03-25T16:19:39.505191,Environment 2,23.21,41.52,357.12
2025-03-25T16:19:50.023916,Environment 1,23.64,40.59,465.41
2025-03-25T16:19:50.564205,Environment 2,23.21,41.51,357.12
2025-03-25T16:20:01.087103,Environment 1,23.59,40.6,464.49
2025-03-25T16:20:03.720515,Environment 1,23.58,40.62,464.49
2025-03-25T16:20:04.257690,Environment 2,23.18,41.44,357.12
2025-03-25T16:20:14.780226,Environment 1,23.56,40.58,465.87
2025-03-25T16:20:15.316472,Environment 2,23.18,41.43,357.58
2025-03-25T16:20:25.838695,Environment 1,23.53,40.59,464.95
2025-03-25T16:20:28.476620,Environment 1,23.53,40.51,465.41
2025-03-25T16:20:29.013110,Environment 2,23.17,41.3,358.04
2025-03-25T16:20:39.535722,Environment 1,23.51,40.43,466.33
2025-03-25T16:20:40.071933,Environment 2,23.14,41.13,358.04
2025-03-25T16:20:50.594356,Environment 1,23.46,40.5,466.33
2025-03-25T16:20:53.228133,Environment 1,23.45,40.51,466.79
2025-03-25T16:20:53.768631,Environment 2,23.12,41.16,357.58
2025-03-25T16:21:04.291378,Environment 1,23.42,40.5,464.95
2025-03-25T16:21:04.828034,Environment 2,23.13,41.1,356.2
2025-03-25T16:21:15.350464,Environment 1,23.4,40.46,464.95
2025-03-25T16:21:17.988516,Environment 1,23.39,40.46,465.87
2025-03-25T16:21:18.525256,Environment 2,23.11,41.02,358.5
2025-03-25T16:21:29.047129,Environment 1,23.38,40.49,466.33
2025-03-25T16:21:29.584512,Environment 2,23.09,40.97,358.96
2025-03-25T16:21:40.106441,Environment 1,23.34,40.41,467.25
2025-03-25T16:21:42.744582,Environment 1,23.35,40.42,467.25
2025-03-25T16:21:43.281284,Environment 2,23.09,40.95,358.96
2025-03-25T16:21:53.802825,Environment 1,23.34,40.52,467.25
2025-03-25T16:21:54.340421,Environment 2,23.07,41.03,358.5
2025-03-25T16:22:04.862443,Environment 1,23.32,40.62,464.03
2025-03-25T16:22:07.496178,Environment 1,23.34,40.66,465.87
2025-03-25T16:22:08.036994,Environment 2,23.06,41.23,358.04
2025-03-25T16:22:18.559539,Environment 1,23.31,40.93,466.33
2025-03-25T16:22:19.095490,Environment 2,23.05,41.39,357.12
2025-03-25T16:22:29.618780,Environment 1,23.3,41.18,465.87
2025-03-25T16:22:32.252415,Environment 1,23.31,41.2,465.87
2025-03-25T16:22:32.788795,Environment 2,23.03,41.71,358.04
2025-03-25T16:22:43.311550,Environment 1,23.3,41.34,466.33
2025-03-25T16:22:43.851345,Environment 2,23.05,41.92,357.58
2025-03-25T16:22:54.374109,Environment 1,23.28,41.79,466.33
2025-03-25T16:22:57.007999,Environment 1,23.29,41.81,466.33
2025-03-25T16:22:57.544764,Environment 2,23.03,42.35,358.04
2025-03-25T16:23:08.067363,Environment 1,23.3,42.03,466.33
2025-03-25T16:23:08.607580,Environment 2,23.03,42.61,358.04
2025-03-25T16:23:19.129955,Environment 1,23.31,42.32,466.79
2025-03-25T16:23:21.764213,Environment 1,23.31,42.39,466.79
2025-03-25T16:23:22.300773,Environment 2,23.03,43.11,358.5
2025-03-25T16:23:32.823268,Environment 1,23.31,42.75,466.33
2025-03-25T16:23:33.363110,Environment 2,23.03,43.39,358.5
2025-03-25T16:23:43.885737,Environment 1,23.31,43.35,466.79
2025-03-25T16:23:46.519831,Environment 1,23.32,43.53,466.79
2025-03-25T16:23:47.060251,Environment 2,23.05,43.93,358.5
2025-03-25T16:23:57.579140,Environment 1,23.34,43.45,467.25
2025-03-25T16:23:58.119197,Environment 2,23.03,43.87,358.5
2025-03-25T16:24:08.641626,Environment 1,23.34,43.67,466.79
2025-03-25T16:24:11.276008,Environment 1,23.31,43.67,466.79
2025-03-25T16:24:11.816661,Environment 2,23.05,44.29,358.96
2025-03-25T16:24:22.339154,Environment 1,23.34,43.88,467.25
2025-03-25T16:24:22.875075,Environment 2,23.05,44.51,358.04
2025-03-25T16:24:33.398213,Environment 1,23.35,44.19,466.79
2025-03-25T16:24:36.031901,Environment 1,23.35,44.2,466.79
2025-03-25T16:24:36.572184,Environment 2,23.05,44.74,358.5
2025-03-25T16:24:47.090206,Environment 1,23.35,44.33,466.79
2025-03-25T16:24:47.631608,Environment 2,23.05,44.97,358.5
2025-03-25T16:24:58.154112,Environment 1,23.35,44.54,466.79
2025-03-25T16:25:00.787135,Environment 1,23.35,44.54,466.79
2025-03-25T16:25:01.324201,Environment 2,23.05,45.25,358.04
2025-03-25T16:25:11.846586,Environment 1,23.37,44.69,467.25
2025-03-25T16:25:12.387151,Environment 2,23.06,45.45,358.5
2025-03-25T16:25:22.909162,Environment 1,23.38,44.8,466.79
2025-03-25T16:25:25.543758,Environment 1,23.37,44.81,467.25
2025-03-25T16:25:26.079443,Environment 2,23.07,45.51,358.96
2025-03-25T16:25:36.602758,Environment 1,23.39,44.9,467.25
2025-03-25T16:25:37.142897,Environment 2,23.06,45.63,358.04
2025-03-25T16:25:47.665349,Environment 1,23.39,44.96,467.71
2025-03-25T16:25:50.298245,Environment 1,23.38,44.97,468.17
2025-03-25T16:25:50.835579,Environment 2,23.07,45.75,358.5
2025-03-25T16:26:01.358657,Environment 1,23.4,45.16,467.71
2025-03-25T16:26:01.898534,Environment 2,23.07,45.93,358.04
2025-03-25T16:26:12.421207,Environment 1,23.41,45.25,467.25
2025-03-25T16:26:15.055187,Environment 1,23.41,45.28,466.33
2025-03-25T16:26:15.595844,Environment 2,23.07,46.06,358.96
2025-03-25T16:26:26.118645,Environment 1,23.4,45.46,468.63
2025-03-25T16:26:26.654458,Environment 2,23.08,46.17,359.88
2025-03-25T16:26:37.173780,Environment 1,23.41,45.45,468.63
2025-03-25T16:26:39.810644,Environment 1,23.4,45.45,468.63
2025-03-25T16:26:40.347828,Environment 2,23.07,46.13,359.88
2025-03-25T16:26:50.870385,Environment 1,23.41,45.43,468.63
2025-03-25T16:26:51.410448,Environment 2,23.07,46.22,359.88
2025-03-25T16:27:01.929269,Environment 1,23.41,45.55,467.25
2025-03-25T16:27:04.562718,Environment 1,23.42,45.54,460.34
2025-03-25T16:27:05.103854,Environment 2,23.08,46.5,353.43
2025-03-25T16:27:15.626055,Environment 1,23.42,46.05,346.52
2025-03-25T16:27:16.162152,Environment 2,23.08,46.81,285.7
2025-03-25T16:27:26.685408,Environment 1,23.42,46.15,343.3
2025-03-25T16:27:29.318963,Environment 1,23.43,46.19,343.3
2025-03-25T16:27:29.859636,Environment 2,23.09,47.1,288.0
2025-03-25T16:27:40.382332,Environment 1,23.43,46.28,339.61
2025-03-25T16:27:40.918323,Environment 2,23.07,47.22,279.71
2025-03-25T16:27:51.441304,Environment 1,23.44,46.39,352.51
2025-03-25T16:27:54.074074,Environment 1,23.44,46.38,344.68
2025-03-25T16:27:54.615128,Environment 2,23.09,47.26,291.69
2025-03-25T16:28:05.137679,Environment 1,23.45,46.43,342.84
2025-03-25T16:28:05.674712,Environment 2,23.09,47.28,288.46
2025-03-25T16:28:16.196592,Environment 1,23.44,46.44,343.76
2025-03-25T16:28:18.830902,Environment 1,23.46,46.42,344.22
2025-03-25T16:28:19.371498,Environment 2,23.09,47.29,287.54
2025-03-25T16:28:29.893363,Environment 1,23.46,46.45,342.37
2025-03-25T16:28:30.430616,Environment 2,23.11,47.31,287.08
2025-03-25T16:28:40.952028,Environment 1,23.45,46.61,341.91
2025-03-25T16:28:43.586088,Environment 1,23.44,46.67,342.37
2025-03-25T16:28:44.127114,Environment 2,23.12,47.37,285.7
2025-03-25T16:28:54.645760,Environment 1,23.46,46.82,344.22
2025-03-25T16:28:55.185905,Environment 2,23.12,47.49,289.84
2025-03-25T16:29:05.708284,Environment 1,23.46,46.83,351.13
2025-03-25T16:29:08.342196,Environment 1,23.45,46.92,349.29
2025-03-25T16:29:08.879178,Environment 2,23.13,47.67,296.29
2025-03-25T16:29:19.401009,Environment 1,23.44,47.25,350.21
2025-03-25T16:29:19.942071,Environment 2,23.13,48.02,299.06
2025-03-25T16:29:30.464898,Environment 1,23.45,47.18,350.21
2025-03-25T16:29:33.098252,Environment 1,23.45,47.12,343.76
2025-03-25T16:29:33.635021,Environment 2,23.13,47.76,284.77
2025-03-25T16:29:44.157554,Environment 1,23.46,47.76,415.18
2025-03-25T16:29:44.698042,Environment 2,23.14,48.51,333.16
